Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 17 Jul 2002 (W28),Sheriff Tiraspol › MDA (1),2-1,0-0,Astana-64 › KAZ (1),,,,
Group 1st,Matchday ?,1|E,(Wed) 13 Nov 2002 (W45),Dinamo Kiev › UKR (10),1-2,0-0,Juventus › ITA (6),,,,
Group 1st,Matchday ?,1|E,(Wed) 13 Nov 2002 (W45),Feyenoord Rotterdam › NED (8),2-3,0-1,Newcastle United FC › ENG (8),,,,
Group 1st,Matchday ?,1|F,(Wed) 13 Nov 2002 (W45),Manchester United FC › ENG (8),2-0,1-0,Bayer 04 Leverkusen › GER (6),,,,
Group 1st,Matchday ?,1|F,(Wed) 13 Nov 2002 (W45),Olympiacos › GRE (6),3-3,1-3,Maccabi Haifa › ISR (10),,,,
Group 1st,Matchday ?,1|G,(Wed) 13 Nov 2002 (W45),AC Milan › ITA (8),1-2,1-0,Deportivo La Coruna › ESP (6),,,,
Group 1st,Matchday ?,1|G,(Wed) 13 Nov 2002 (W45),Bayern München › GER (8),3-3,2-1,RC Lens › FRA (6),,,,
Group 1st,Matchday ?,1|H,(Wed) 13 Nov 2002 (W45),Lokomotiv Moskva › RUS (8),2-0,1-0,Club Brugge › BEL (10),,,,
Group 1st,Matchday ?,1|H,(Wed) 13 Nov 2002 (W45),FC Barcelona › ESP (8),3-1,2-1,Galatasaray İstanbul AŞ › TUR (6),,,,
Group 2nd,Matchday ?,2|C,(Tue) 26 Nov 2002 (W47),AC Milan › ITA (9),1-0,1-0,Real Madrid CF › ESP (7),,,,
Group 2nd,Matchday ?,2|C,(Tue) 26 Nov 2002 (W47),Lokomotiv Moskva › RUS (9),1-2,1-2,Borussia Dortmund › GER (7),,,,
Group 2nd,Matchday ?,2|D,(Tue) 26 Nov 2002 (W47),Deportivo La Coruna › ESP (7),2-2,2-1,Juventus › ITA (7),,,,
Group 2nd,Matchday ?,2|D,(Tue) 26 Nov 2002 (W47),Basel › SUI (11),1-3,1-0,Manchester United FC › ENG (9),,,,
Group 2nd,Matchday ?,2|A,(Wed) 27 Nov 2002 (W47),Bayer 04 Leverkusen › GER (7),1-2,1-0,FC Barcelona › ESP (9),,,,
Group 2nd,Matchday ?,2|A,(Wed) 27 Nov 2002 (W47),Newcastle United FC › ENG (9),1-4,0-3,Internazionale › ITA (9),,,,
Group 2nd,Matchday ?,2|B,(Wed) 27 Nov 2002 (W47),Valencia CF › ESP (7),1-1,0-0,AFC Ajax › NED (7),,,,
Group 2nd,Matchday ?,2|B,(Wed) 27 Nov 2002 (W47),AS Roma › ITA (7),1-3,1-1,Arsenal FC › ENG (7),,,,
Group 2nd,Matchday ?,2|A,(Tue) 10 Dec 2002 (W49),Internazionale › ITA (10),3-2,2-0,Bayer 04 Leverkusen › GER (8),,,,
Group 2nd,Matchday ?,2|B,(Tue) 10 Dec 2002 (W49),AFC Ajax › NED (8),2-1,1-0,AS Roma › ITA (8),,,,
Group 2nd,Matchday ?,2|B,(Tue) 10 Dec 2002 (W49),Arsenal FC › ENG (8),0-0,0-0,Valencia CF › ESP (8),,,,
Group 2nd,Matchday ?,2|A,(Wed) 11 Dec 2002 (W49),FC Barcelona › ESP (10),3-1,2-1,Newcastle United FC › ENG (10),,,,
Group 2nd,Matchday ?,2|C,(Wed) 11 Dec 2002 (W49),Real Madrid CF › ESP (8),2-2,1-0,Lokomotiv Moskva › RUS (10),,,,
Group 2nd,Matchday ?,2|C,(Wed) 11 Dec 2002 (W49),Borussia Dortmund › GER (8),0-1,0-0,AC Milan › ITA (10),,,,
Group 2nd,Matchday ?,2|D,(Wed) 11 Dec 2002 (W49),Manchester United FC › ENG (10),2-0,1-0,Deportivo La Coruna › ESP (8),,,,
Group 2nd,Matchday ?,2|D,(Wed) 11 Dec 2002 (W49),Juventus › ITA (8),4-0,3-0,Basel › SUI (12),,,,
Group 2nd,Matchday ?,2|A,(Tue) 18 Feb 2003 (W7),Bayer 04 Leverkusen › GER (9),1-3,1-3,Newcastle United FC › ENG (11),,,,
Group 2nd,Matchday ?,2|A,(Tue) 18 Feb 2003 (W7),FC Barcelona › ESP (11),3-0,2-0,Internazionale › ITA (11),,,,
Group 2nd,Matchday ?,2|B,(Tue) 18 Feb 2003 (W7),Arsenal FC › ENG (9),1-1,1-1,AFC Ajax › NED (9),,,,
Group 2nd,Matchday ?,2|B,(Tue) 18 Feb 2003 (W7),AS Roma › ITA (9),0-1,0-0,Valencia CF › ESP (9),,,,
Group 2nd,Matchday ?,2|C,(Wed) 19 Feb 2003 (W7),AC Milan › ITA (11),1-0,0-0,Lokomotiv Moskva › RUS (11),,,,
Group 2nd,Matchday ?,2|C,(Wed) 19 Feb 2003 (W7),Real Madrid CF › ESP (9),2-1,1-1,Borussia Dortmund › GER (9),,,,
Group 2nd,Matchday ?,2|D,(Wed) 19 Feb 2003 (W7),Basel › SUI (13),1-0,1-0,Deportivo La Coruna › ESP (9),,,,
Group 2nd,Matchday ?,2|D,(Wed) 19 Feb 2003 (W7),Manchester United FC › ENG (11),2-1,1-0,Juventus › ITA (9),,,,
Group 2nd,Matchday ?,2|C,(Tue) 25 Feb 2003 (W8),Lokomotiv Moskva › RUS (12),0-1,0-1,AC Milan › ITA (12),,,,
Group 2nd,Matchday ?,2|C,(Tue) 25 Feb 2003 (W8),Borussia Dortmund › GER (10),1-1,1-0,Real Madrid CF › ESP (10),,,,
Group 2nd,Matchday ?,2|D,(Tue) 25 Feb 2003 (W8),Deportivo La Coruna › ESP (10),1-0,1-0,Basel › SUI (14),,,,
Group 2nd,Matchday ?,2|D,(Tue) 25 Feb 2003 (W8),Juventus › ITA (10),0-3,0-2,Manchester United FC › ENG (12),,,,
Group 2nd,Matchday ?,2|A,(Wed) 26 Feb 2003 (W8),Newcastle United FC › ENG (12),3-1,3-0,Bayer 04 Leverkusen › GER (10),,,,
Group 2nd,Matchday ?,2|A,(Wed) 26 Feb 2003 (W8),Internazionale › ITA (12),0-0,0-0,FC Barcelona › ESP (12),,,,
Group 2nd,Matchday ?,2|B,(Wed) 26 Feb 2003 (W8),Valencia CF › ESP (10),0-3,0-3,AS Roma › ITA (10),,,,
Group 2nd,Matchday ?,2|B,(Wed) 26 Feb 2003 (W8),AFC Ajax › NED (10),0-0,0-0,Arsenal FC › ENG (10),,,,
Group 2nd,Matchday ?,2|A,(Tue) 11 Mar 2003 (W10),FC Barcelona › ESP (13),2-0,1-0,Bayer 04 Leverkusen › GER (11),,,,
Group 2nd,Matchday ?,2|A,(Tue) 11 Mar 2003 (W10),Internazionale › ITA (13),2-2,0-1,Newcastle United FC › ENG (13),,,,
Group 2nd,Matchday ?,2|B,(Tue) 11 Mar 2003 (W10),AFC Ajax › NED (11),1-1,0-1,Valencia CF › ESP (11),,,,
Group 2nd,Matchday ?,2|B,(Tue) 11 Mar 2003 (W10),Arsenal FC › ENG (11),1-1,1-1,AS Roma › ITA (11),,,,
Group 2nd,Matchday ?,2|C,(Wed) 12 Mar 2003 (W10),Real Madrid CF › ESP (11),3-1,1-0,AC Milan › ITA (13),,,,
Group 2nd,Matchday ?,2|C,(Wed) 12 Mar 2003 (W10),Borussia Dortmund › GER (11),3-0,1-0,Lokomotiv Moskva › RUS (13),,,,
Group 2nd,Matchday ?,2|D,(Wed) 12 Mar 2003 (W10),Manchester United FC › ENG (13),1-1,0-1,Basel › SUI (15),,,,
Group 2nd,Matchday ?,2|D,(Wed) 12 Mar 2003 (W10),Juventus › ITA (11),3-2,1-1,Deportivo La Coruna › ESP (11),,,,
Group 2nd,Matchday ?,2|C,(Tue) 18 Mar 2003 (W11),Lokomotiv Moskva › RUS (14),0-1,0-1,Real Madrid CF › ESP (12),,,,
Group 2nd,Matchday ?,2|C,(Tue) 18 Mar 2003 (W11),AC Milan › ITA (14),0-1,0-0,Borussia Dortmund › GER (12),,,,
Group 2nd,Matchday ?,2|D,(Tue) 18 Mar 2003 (W11),Deportivo La Coruna › ESP (12),2-0,1-0,Manchester United FC › ENG (14),,,,
Group 2nd,Matchday ?,2|D,(Tue) 18 Mar 2003 (W11),Basel › SUI (16),2-1,1-1,Juventus › ITA (12),,,,
Group 2nd,Matchday ?,2|A,(Wed) 19 Mar 2003 (W11),Bayer 04 Leverkusen › GER (12),0-2,0-1,Internazionale › ITA (14),,,,
Group 2nd,Matchday ?,2|A,(Wed) 19 Mar 2003 (W11),Newcastle United FC › ENG (14),0-2,0-0,FC Barcelona › ESP (14),,,,
Group 2nd,Matchday ?,2|B,(Wed) 19 Mar 2003 (W11),Valencia CF › ESP (12),2-1,1-0,Arsenal FC › ENG (12),,,,
Group 2nd,Matchday ?,2|B,(Wed) 19 Mar 2003 (W11),AS Roma › ITA (12),1-1,1-1,AFC Ajax › NED (12),,,,
Knockout,Quarterfinals | Leg 1,,(Tue) 8 Apr 2003 (W14),AFC Ajax › NED (13),0-0,0-0,AC Milan › ITA (15),,,,
Knockout,Quarterfinals | Leg 1,,(Tue) 8 Apr 2003 (W14),Real Madrid CF › ESP (13),3-1,2-0,Manchester United FC › ENG (15),,,,
Knockout,Quarterfinals | Leg 1,,(Wed) 9 Apr 2003 (W14),Internazionale › ITA (15),1-0,1-0,Valencia CF › ESP (13),,,,
Knockout,Quarterfinals | Leg 1,,(Wed) 9 Apr 2003 (W14),Juventus › ITA (13),1-1,1-0,FC Barcelona › ESP (15),,,,
Knockout,Quarterfinals | Leg 2,,(Tue) 22 Apr 2003 (W16),Valencia CF › ESP (14),2-1,1-1,Internazionale › ITA (16),2-2 (agg.),,,away goals
Knockout,Quarterfinals | Leg 2,,(Tue) 22 Apr 2003 (W16),FC Barcelona › ESP (16),1-1 (*),0-0,Juventus › ITA (14),2-2 (agg.),1-2 (a.e.t.),,
Knockout,Quarterfinals | Leg 2,,(Wed) 23 Apr 2003 (W16),AC Milan › ITA (16),3-2,1-0,AFC Ajax › NED (14),3-2 (agg.),,,
Knockout,Quarterfinals | Leg 2,,(Wed) 23 Apr 2003 (W16),Manchester United FC › ENG (16),4-3,1-1,Real Madrid CF › ESP (14),5-6 (agg.),,,
Knockout,Semifinals | Leg 1,,(Tue) 6 May 2003 (W18),Real Madrid CF › ESP (15),2-1,1-1,Juventus › ITA (15),,,,
Knockout,Semifinals | Leg 1,,(Wed) 7 May 2003 (W18),AC Milan › ITA (17),0-0,0-0,Internazionale › ITA (17),,,,
Knockout,Semifinals | Leg 2,,(Tue) 13 May 2003 (W19),Internazionale › ITA (18),1-1,0-1,AC Milan › ITA (18),1-1 (agg.),,,away goals
Knockout,Semifinals | Leg 2,,(Wed) 14 May 2003 (W19),Juventus › ITA (16),3-1,2-0,Real Madrid CF › ESP (16),4-3 (agg.),,,
Knockout,Final,,(Wed) 28 May 2003 (W21),AC Milan › ITA (19),0-0 (*),0-0,Juventus › ITA (17),,0-0 (a.e.t.),3-2 (pen.),
