Stage,Round,Group,Date,Team 1,FT,HT,Team 2,∑FT,ET,P,Comments
Qualifying,Qual. Round 1 | Leg 1,,(Wed) 11 Jul 2001 (W28),Sloga Jugomagnat Skopje › MKD (1),0-0,0-0,FBK Kaunas › LTU (1),1-1 (agg.),,,
Group 1st,Matchday ?,1|B,(Tue) 30 Oct 2001 (W44),Dinamo Kiev › UKR (8),1-0,0-0,Boavista FC › POR (6),,,,
Group 1st,Matchday ?,1|B,(Tue) 30 Oct 2001 (W44),Liverpool FC › ENG (8),2-0,1-0,Borussia Dortmund › GER (8),,,,
Group 1st,Matchday ?,1|C,(Tue) 30 Oct 2001 (W44),RCD Mallorca › ESP (8),1-0,0-0,Panathinaikos FC › GRE (8),,,,
Group 1st,Matchday ?,1|C,(Tue) 30 Oct 2001 (W44),FC Schalke 04 › GER (6),3-1,1-0,Arsenal FC › ENG (6),,,,
Group 1st,Matchday ?,1|D,(Tue) 30 Oct 2001 (W44),FC Nantes › FRA (6),1-0,0-0,SS Lazio › ITA (8),,,,
Group 1st,Matchday ?,1|D,(Tue) 30 Oct 2001 (W44),Galatasaray İstanbul AŞ › TUR (10),2-0,1-0,PSV Eindhoven › NED (6),,,,
Group 1st,Matchday ?,1|E,(Wed) 31 Oct 2001 (W44),FC Porto › POR (10),1-0,1-0,Rosenborg BK › NOR (8),,,,
Group 1st,Matchday ?,1|E,(Wed) 31 Oct 2001 (W44),Celtic FC › SCO (8),4-3,2-1,Juventus › ITA (6),,,,
Group 1st,Matchday ?,1|F,(Wed) 31 Oct 2001 (W44),FC Barcelona › ESP (8),1-0,0-0,Fenerbahçe İstanbul SK › TUR (8),,,,
Group 1st,Matchday ?,1|F,(Wed) 31 Oct 2001 (W44),Bayer 04 Leverkusen › GER (8),2-4,1-2,Olympique Lyon › FRA (6),,,,
Group 1st,Matchday ?,1|G,(Wed) 31 Oct 2001 (W44),Olympiacos › GRE (6),1-1,0-0,Deportivo La Coruna › ESP (6),,,,
Group 1st,Matchday ?,1|G,(Wed) 31 Oct 2001 (W44),Lille OSC › FRA (8),1-1,0-1,Manchester United FC › ENG (6),,,,
Group 1st,Matchday ?,1|H,(Wed) 31 Oct 2001 (W44),Feyenoord Rotterdam › NED (6),2-1,2-1,Spartak Moskva › RUS (6),,,,
Group 1st,Matchday ?,1|H,(Wed) 31 Oct 2001 (W44),Sparta Praha › CZE (6),0-1,0-1,Bayern München › GER (6),,,,
Group 2nd,Matchday ?,2|A,(Tue) 20 Nov 2001 (W47),Boavista FC › POR (7),1-0,1-0,FC Nantes › FRA (7),,,,
Group 2nd,Matchday ?,2|A,(Tue) 20 Nov 2001 (W47),Bayern München › GER (7),1-1,0-0,Manchester United FC › ENG (7),,,,
Group 2nd,Matchday ?,2|B,(Tue) 20 Nov 2001 (W47),Galatasaray İstanbul AŞ › TUR (11),1-1,1-0,AS Roma › ITA (7),,,,
Group 2nd,Matchday ?,2|B,(Tue) 20 Nov 2001 (W47),Liverpool FC › ENG (9),1-3,1-1,FC Barcelona › ESP (9),,,,
Group 2nd,Matchday ?,2|C,(Wed) 21 Nov 2001 (W47),Sparta Praha › CZE (7),2-3,1-2,Real Madrid CF › ESP (7),,,,
Group 2nd,Matchday ?,2|C,(Wed) 21 Nov 2001 (W47),Panathinaikos FC › GRE (9),0-0,0-0,FC Porto › POR (11),,,,
Group 2nd,Matchday ?,2|D,(Wed) 21 Nov 2001 (W47),Deportivo La Coruna › ESP (7),2-0,2-0,Arsenal FC › ENG (7),,,,
Group 2nd,Matchday ?,2|D,(Thu) 29 Nov 2001 (W48),Juventus › ITA (7),4-0,3-0,Bayer 04 Leverkusen › GER (9),,,,
Group 2nd,Matchday ?,2|C,(Tue) 4 Dec 2001 (W49),Real Madrid CF › ESP (8),3-0,1-0,Panathinaikos FC › GRE (10),,,,
Group 2nd,Matchday ?,2|C,(Tue) 4 Dec 2001 (W49),FC Porto › POR (12),0-1,0-0,Sparta Praha › CZE (8),,,,
Group 2nd,Matchday ?,2|D,(Tue) 4 Dec 2001 (W49),Bayer 04 Leverkusen › GER (10),3-0,0-0,Deportivo La Coruna › ESP (8),,,,
Group 2nd,Matchday ?,2|D,(Tue) 4 Dec 2001 (W49),Arsenal FC › ENG (8),3-1,2-0,Juventus › ITA (8),,,,
Group 2nd,Matchday ?,2|A,(Wed) 5 Dec 2001 (W49),Manchester United FC › ENG (8),3-0,1-0,Boavista FC › POR (8),,,,
Group 2nd,Matchday ?,2|A,(Wed) 5 Dec 2001 (W49),FC Nantes › FRA (8),0-1,0-0,Bayern München › GER (8),,,,
Group 2nd,Matchday ?,2|B,(Wed) 5 Dec 2001 (W49),AS Roma › ITA (8),0-0,0-0,Liverpool FC › ENG (10),,,,
Group 2nd,Matchday ?,2|B,(Wed) 5 Dec 2001 (W49),FC Barcelona › ESP (10),2-2,0-2,Galatasaray İstanbul AŞ › TUR (12),,,,
Group 2nd,Matchday ?,2|C,(Tue) 19 Feb 2002 (W7),Real Madrid CF › ESP (9),1-0,0-0,FC Porto › POR (13),,,,
Group 2nd,Matchday ?,2|C,(Tue) 19 Feb 2002 (W7),Sparta Praha › CZE (9),0-2,0-1,Panathinaikos FC › GRE (11),,,,
Group 2nd,Matchday ?,2|D,(Tue) 19 Feb 2002 (W7),Juventus › ITA (9),0-0,0-0,Deportivo La Coruna › ESP (9),,,,
Group 2nd,Matchday ?,2|D,(Tue) 19 Feb 2002 (W7),Bayer 04 Leverkusen › GER (11),1-1,0-0,Arsenal FC › ENG (9),,,,
Group 2nd,Matchday ?,2|A,(Wed) 20 Feb 2002 (W7),Boavista FC › POR (9),0-0,0-0,Bayern München › GER (9),,,,
Group 2nd,Matchday ?,2|A,(Wed) 20 Feb 2002 (W7),FC Nantes › FRA (9),1-1,1-0,Manchester United FC › ENG (9),,,,
Group 2nd,Matchday ?,2|B,(Wed) 20 Feb 2002 (W7),FC Barcelona › ESP (11),1-1,0-0,AS Roma › ITA (9),,,,
Group 2nd,Matchday ?,2|B,(Wed) 20 Feb 2002 (W7),Liverpool FC › ENG (11),0-0,0-0,Galatasaray İstanbul AŞ › TUR (13),,,,
Group 2nd,Matchday ?,2|A,(Tue) 26 Feb 2002 (W8),Manchester United FC › ENG (10),5-1,3-1,FC Nantes › FRA (10),,,,
Group 2nd,Matchday ?,2|A,(Tue) 26 Feb 2002 (W8),Bayern München › GER (10),1-0,0-0,Boavista FC › POR (10),,,,
Group 2nd,Matchday ?,2|B,(Tue) 26 Feb 2002 (W8),AS Roma › ITA (10),3-0,0-0,FC Barcelona › ESP (12),,,,
Group 2nd,Matchday ?,2|B,(Tue) 26 Feb 2002 (W8),Galatasaray İstanbul AŞ › TUR (14),1-1,0-0,Liverpool FC › ENG (12),,,,
Group 2nd,Matchday ?,2|C,(Wed) 27 Feb 2002 (W8),Panathinaikos FC › GRE (12),2-1,1-0,Sparta Praha › CZE (10),,,,
Group 2nd,Matchday ?,2|C,(Wed) 27 Feb 2002 (W8),FC Porto › POR (14),1-2,1-2,Real Madrid CF › ESP (10),,,,
Group 2nd,Matchday ?,2|D,(Wed) 27 Feb 2002 (W8),Arsenal FC › ENG (10),4-1,2-0,Bayer 04 Leverkusen › GER (12),,,,
Group 2nd,Matchday ?,2|D,(Wed) 27 Feb 2002 (W8),Deportivo La Coruna › ESP (10),2-0,1-0,Juventus › ITA (10),,,,
Group 2nd,Matchday ?,2|C,(Tue) 12 Mar 2002 (W10),Real Madrid CF › ESP (11),3-0,0-0,Sparta Praha › CZE (11),,,,
Group 2nd,Matchday ?,2|C,(Tue) 12 Mar 2002 (W10),FC Porto › POR (15),2-1,1-0,Panathinaikos FC › GRE (13),,,,
Group 2nd,Matchday ?,2|D,(Tue) 12 Mar 2002 (W10),Bayer 04 Leverkusen › GER (13),3-1,1-0,Juventus › ITA (11),,,,
Group 2nd,Matchday ?,2|D,(Tue) 12 Mar 2002 (W10),Arsenal FC › ENG (11),0-2,0-2,Deportivo La Coruna › ESP (11),,,,
Group 2nd,Matchday ?,2|A,(Wed) 13 Mar 2002 (W10),Manchester United FC › ENG (11),0-0,0-0,Bayern München › GER (11),,,,
Group 2nd,Matchday ?,2|A,(Wed) 13 Mar 2002 (W10),FC Nantes › FRA (11),1-1,1-0,Boavista FC › POR (11),,,,
Group 2nd,Matchday ?,2|B,(Wed) 13 Mar 2002 (W10),AS Roma › ITA (11),1-1,0-1,Galatasaray İstanbul AŞ › TUR (15),,,,
Group 2nd,Matchday ?,2|B,(Wed) 13 Mar 2002 (W10),FC Barcelona › ESP (13),0-0,0-0,Liverpool FC › ENG (13),,,,
Group 2nd,Matchday ?,2|A,(Tue) 19 Mar 2002 (W11),Boavista FC › POR (12),0-3,0-2,Manchester United FC › ENG (12),,,,
Group 2nd,Matchday ?,2|A,(Tue) 19 Mar 2002 (W11),Bayern München › GER (12),2-1,0-0,FC Nantes › FRA (12),,,,
Group 2nd,Matchday ?,2|B,(Tue) 19 Mar 2002 (W11),Galatasaray İstanbul AŞ › TUR (16),0-1,0-0,FC Barcelona › ESP (14),,,,
Group 2nd,Matchday ?,2|B,(Tue) 19 Mar 2002 (W11),Liverpool FC › ENG (14),2-0,1-0,AS Roma › ITA (12),,,,
Group 2nd,Matchday ?,2|C,(Wed) 20 Mar 2002 (W11),Panathinaikos FC › GRE (14),2-2,1-1,Real Madrid CF › ESP (12),,,,
Group 2nd,Matchday ?,2|C,(Wed) 20 Mar 2002 (W11),Sparta Praha › CZE (12),2-0,0-0,FC Porto › POR (16),,,,
Group 2nd,Matchday ?,2|D,(Wed) 20 Mar 2002 (W11),Juventus › ITA (12),1-0,0-0,Arsenal FC › ENG (12),,,,
Group 2nd,Matchday ?,2|D,(Wed) 20 Mar 2002 (W11),Deportivo La Coruna › ESP (12),1-3,0-1,Bayer 04 Leverkusen › GER (14),,,,
Knockout,Quarterfinals | Leg 1,,(Tue) 2 Apr 2002 (W13),Bayern München › GER (13),2-1,0-1,Real Madrid CF › ESP (13),2-3 (agg.),,,
Knockout,Quarterfinals | Leg 1,,(Tue) 2 Apr 2002 (W13),Deportivo La Coruna › ESP (13),0-2,0-2,Manchester United FC › ENG (13),2-5 (agg.),,,
Knockout,Quarterfinals | Leg 1,,(Wed) 3 Apr 2002 (W13),Panathinaikos FC › GRE (15),1-0,0-0,FC Barcelona › ESP (15),2-3 (agg.),,,
Knockout,Quarterfinals | Leg 1,,(Wed) 3 Apr 2002 (W13),Liverpool FC › ENG (15),1-0,1-0,Bayer 04 Leverkusen › GER (15),3-4 (agg.),,,
Knockout,Quarterfinals | Leg 2,,(Tue) 9 Apr 2002 (W14),Bayer 04 Leverkusen › GER (16),4-2,1-1,Liverpool FC › ENG (16),4-3 (agg.),,,
Knockout,Quarterfinals | Leg 2,,(Tue) 9 Apr 2002 (W14),FC Barcelona › ESP (16),3-1,1-1,Panathinaikos FC › GRE (16),3-2 (agg.),,,
Knockout,Quarterfinals | Leg 2,,(Wed) 10 Apr 2002 (W14),Manchester United FC › ENG (14),3-2,1-1,Deportivo La Coruna › ESP (14),5-2 (agg.),,,
Knockout,Quarterfinals | Leg 2,,(Wed) 10 Apr 2002 (W14),Real Madrid CF › ESP (14),2-0,0-0,Bayern München › GER (14),3-2 (agg.),,,
Knockout,Semifinals | Leg 1,,(Tue) 23 Apr 2002 (W16),FC Barcelona › ESP (17),0-2,0-0,Real Madrid CF › ESP (15),1-3 (agg.),,,
Knockout,Semifinals | Leg 1,,(Wed) 24 Apr 2002 (W16),Manchester United FC › ENG (15),2-2,1-0,Bayer 04 Leverkusen › GER (17),3-3 (agg.),,,
Knockout,Semifinals | Leg 2,,(Tue) 30 Apr 2002 (W17),Bayer 04 Leverkusen › GER (18),1-1,1-1,Manchester United FC › ENG (16),3-3 (agg.),,,away goals
Knockout,Semifinals | Leg 2,,(Wed) 1 May 2002 (W17),Real Madrid CF › ESP (16),1-1,1-0,FC Barcelona › ESP (18),3-1 (agg.),,,
Knockout,Final,,(Wed) 15 May 2002 (W19),Real Madrid CF › ESP (17),2-1,0-0,Bayer 04 Leverkusen › GER (19),,,,
